user_id,age,income,education,gender,marital_status,occupation
0,62,56654.05994778723,High school,Female,Married,Technical
1,18,46854.52412027158,PhD,Male,Widowed,Professional
2,21,28217.408866313242,Master,Male,Widowed,Service
3,21,54587.04274918376,Bachelor,Male,Married,Technical
4,57,32712.200305069848,PhD,Male,Married,Technical
5,27,58165.333398505056,Bachelor,Male,Widowed,Technical
6,37,31215.9527361635,PhD,Female,Married,Sales
7,39,52090.00313541938,High school,Male,Widowed,Professional
8,54,55463.11849280294,High school,Female,Single,Administrative
9,41,80205.7601955235,Bachelor,Male,Single,Administrative
10,24,20936.038858710832,Master,Female,Single,Administrative
11,42,54742.40300594716,High school,Female,Widowed,Service
12,42,31094.956704124248,Master,Female,Single,Administrative
13,30,57179.19365840506,Master,Female,Divorced,Administrative
14,19,48316.283528971566,Bachelor,Female,Divorced,Professional
15,56,61537.71356108061,Primary,Female,Widowed,Professional
16,57,71242.78529488799,Bachelor,Male,Divorced,Administrative
17,41,44938.04002809683,PhD,Female,Widowed,Technical
18,64,49799.44789234114,Master,Male,Divorced,Professional
19,42,63562.13426492826,PhD,Female,Married,Technical
20,35,42062.88286125465,High school,Female,Divorced,Sales
21,55,56047.46450118138,Primary,Male,Married,Sales
22,43,62582.88411172427,Bachelor,Male,Divorced,Technical
23,31,33857.182258730565,Bachelor,Female,Widowed,Sales
24,26,27125.411836783987,High school,Female,Single,Technical
25,27,52635.693701768534,High school,Female,Single,Sales
26,38,63150.89388851737,PhD,Female,Single,Service
27,34,27425.49700562906,High school,Male,Single,Administrative
28,23,57366.407139810544,High school,Female,Married,Sales
29,33,44519.109401513175,Bachelor,Male,Married,Administrative
30,18,47425.946853685076,PhD,Male,Single,Technical
31,36,65474.88583731962,Primary,Male,Divorced,Sales
32,53,52107.568002981396,Primary,Male,Widowed,Service
33,42,37173.72855671182,High school,Male,Widowed,Professional
34,47,49816.17537007488,High school,Male,Married,Professional
35,37,46495.66651960723,Bachelor,Female,Widowed,Sales
36,37,45782.754819613605,Master,Male,Single,Sales
37,32,67690.02910874286,Master,Male,Widowed,Sales
38,57,40179.6817922147,Bachelor,Female,Widowed,Administrative
39,50,38103.31425666796,Master,Male,Married,Administrative
40,19,53756.8032034986,High school,Male,Single,Technical
41,27,59583.68879026757,Primary,Female,Divorced,Sales
42,50,47992.43837237818,Primary,Female,Married,Professional
43,49,31526.72555358999,PhD,Female,Single,Professional
44,28,51631.196435024336,Master,Male,Married,Administrative
45,41,86363.82299181394,Bachelor,Female,Married,Sales
46,53,58494.69941479899,Bachelor,Female,Married,Service
47,29,25066.700843126244,High school,Male,Divorced,Sales
48,46,35725.317479991296,High school,Male,Single,Technical
49,52,51402.51038439792,Primary,Female,Divorced,Sales
50,18,58127.40564089737,Master,Female,Married,Service
51,18,39564.89664933134,Master,Male,Widowed,Service
52,54,82462.59394062069,Master,Female,Widowed,Technical
53,23,58067.787995553095,PhD,Male,Married,Sales
54,56,54989.65799215776,PhD,Male,Divorced,Professional
55,58,68854.202694164,Bachelor,Male,Single,Service
56,35,53684.28396739964,Primary,Male,Widowed,Sales
57,33,20518.084967351137,Primary,Male,Divorced,Service
58,22,44086.65929007883,Master,Male,Married,Technical
59,59,40410.699826211705,Master,Male,Divorced,Administrative
60,60,44940.40343905998,Bachelor,Male,Married,Technical
61,49,51710.42943463332,PhD,Male,Married,Professional
62,19,60387.60580539957,Master,Male,Single,Sales
63,19,38393.549803567425,High school,Female,Widowed,Administrative
64,57,38521.613611799636,PhD,Female,Single,Sales
65,59,48835.40387520202,PhD,Female,Widowed,Sales
66,53,58635.05468366381,Bachelor,Female,Divorced,Technical
67,56,58265.50987274708,PhD,Female,Divorced,Technical
68,29,59004.40079117246,Master,Female,Married,Service
69,64,66643.37394917375,High school,Female,Divorced,Professional
70,36,44585.22116756505,High school,Female,Widowed,Sales
71,45,66801.9294538601,Master,Male,Married,Technical
72,18,55018.16369812842,Bachelor,Male,Married,Service
73,32,52368.44432001382,Master,Female,Widowed,Professional
74,53,77021.66703116754,High school,Male,Divorced,Professional
75,30,45218.82719838529,Primary,Male,Divorced,Service
76,60,38506.0154871769,Master,Female,Widowed,Administrative
77,38,71977.26330152265,Master,Male,Single,Sales
78,29,49327.11148945516,Master,Male,Single,Professional
79,22,66579.47928750466,Primary,Female,Married,Sales
80,24,55977.16298007637,Bachelor,Female,Married,Sales
81,22,23713.716130451372,Master,Female,Divorced,Technical
82,21,54215.34442786327,Primary,Male,Single,Sales
83,30,59369.13817640981,Primary,Male,Widowed,Service
84,54,48911.805911143296,PhD,Male,Widowed,Administrative
85,58,59350.26571001107,Primary,Female,Widowed,Service
86,32,67882.63080422697,Bachelor,Male,Divorced,Professional
87,33,72072.98332140164,Primary,Male,Married,Service
88,38,61879.565666901886,High school,Male,Married,Professional
89,53,37328.64348305724,Primary,Male,Married,Technical
90,41,51862.16657819731,Primary,Female,Married,Service
91,33,39291.444339331996,Primary,Male,Widowed,Professional
92,31,43093.6581318139,PhD,Female,Widowed,Service
93,39,42864.77516844343,Primary,Female,Married,Professional
94,23,49199.015624831074,Bachelor,Female,Widowed,Administrative
95,59,53328.19359513146,PhD,Female,Married,Professional
96,53,81258.39971551759,Bachelor,Male,Single,Sales
97,18,53712.725231144716,High school,Male,Single,Sales
98,49,76741.19067467569,Bachelor,Male,Divorced,Technical
99,23,49797.66443104466,Primary,Female,Married,Technical
100,48,61519.57249931485,Primary,Male,Married,Technical
101,18,44667.62444608172,Primary,Male,Divorced,Administrative
102,54,50543.18043632848,Primary,Male,Single,Service
103,52,39250.34879165789,Bachelor,Male,Divorced,Service
104,47,60391.13747489693,Master,Male,Widowed,Sales
105,21,38312.99016310231,Master,Male,Single,Sales
106,52,45538.68107968693,PhD,Male,Divorced,Technical
107,60,53305.041269612484,Primary,Female,Widowed,Administrative
108,31,56524.76253896844,Master,Male,Married,Sales
109,57,57873.553009121315,High school,Male,Single,Technical
110,39,42893.143067804536,PhD,Female,Married,Professional
111,27,29610.198129119646,High school,Male,Widowed,Professional
112,18,16100.36487991672,Primary,Male,Married,Technical
113,28,36597.78358988196,Master,Female,Divorced,Technical
114,61,40149.27045128803,Primary,Male,Widowed,Professional
115,41,39605.14461898779,PhD,Female,Married,Administrative
116,20,37375.19418721552,Bachelor,Male,Single,Technical
117,52,56909.3055141105,Bachelor,Female,Widowed,Professional
118,53,45876.46761080746,High school,Female,Divorced,Administrative
119,48,47942.703706246,Primary,Female,Single,Technical
120,21,38205.73441530821,High school,Male,Widowed,Technical
121,36,74476.69053637165,Bachelor,Male,Married,Technical
122,64,45859.61388201768,High school,Male,Single,Sales
123,53,14732.707735950265,Master,Female,Widowed,Professional
124,38,38341.49660054467,High school,Male,Widowed,Administrative
125,35,30074.324289772347,PhD,Male,Single,Administrative
126,45,28982.04200999184,PhD,Female,Widowed,Professional
127,32,56940.39314549259,PhD,Female,Married,Professional
128,59,85725.29608994008,Primary,Female,Married,Service
129,19,31865.21265931619,Bachelor,Male,Divorced,Administrative
130,54,43716.98832312384,Primary,Female,Single,Service
131,28,38220.17871869485,Bachelor,Male,Widowed,Professional
132,40,17531.72866259346,Master,Female,Married,Sales
133,61,67168.7178515359,Primary,Male,Divorced,Sales
134,58,35742.47305606037,Master,Female,Single,Service
135,29,61461.848223868175,Master,Male,Single,Professional
136,20,69792.34655658992,PhD,Female,Single,Administrative
137,34,48195.12988031029,Master,Male,Widowed,Sales
138,50,34185.35680804051,PhD,Female,Divorced,Sales
139,18,8616.087136437083,Bachelor,Male,Married,Technical
140,56,59896.33126672181,Master,Female,Single,Professional
141,37,82151.08267020725,Master,Female,Divorced,Professional
142,64,43236.845917435734,Bachelor,Female,Widowed,Service
143,60,56976.61197773157,Primary,Male,Divorced,Service
144,58,44183.83975827585,PhD,Female,Married,Professional
145,31,40898.96647936365,Master,Male,Married,Technical
146,48,73048.38332339686,Bachelor,Male,Widowed,Sales
147,42,52567.35345212246,Primary,Female,Single,Sales
148,20,50203.44827866653,Bachelor,Female,Single,Technical
149,21,51927.827418140216,PhD,Female,Married,Service
150,48,51856.77653558277,PhD,Male,Married,Technical
151,52,25809.701337845294,Bachelor,Male,Married,Service
152,61,47451.4060634567,Master,Male,Single,Administrative
153,31,75781.86702054941,Bachelor,Female,Widowed,Sales
154,58,61929.14099018613,High school,Male,Married,Administrative
155,26,41567.20715379384,Master,Female,Married,Technical
156,37,52909.25409616639,Primary,Female,Divorced,Sales
157,49,68904.6140364763,High school,Female,Married,Professional
158,26,54989.34720858307,Bachelor,Male,Widowed,Service
159,44,87439.91843673475,High school,Male,Widowed,Service
160,20,55023.087488289224,PhD,Female,Married,Service
161,21,53661.2769676048,Primary,Female,Single,Sales
162,62,33777.88186973678,Primary,Male,Divorced,Administrative
163,32,24931.841186675076,Primary,Male,Married,Technical
164,50,65441.77256879355,PhD,Male,Single,Administrative
165,22,44066.715496697274,High school,Female,Divorced,Professional
166,21,38528.270426731964,Bachelor,Male,Married,Administrative
167,63,58460.02264236819,Master,Male,Divorced,Technical
168,29,40791.06038581919,Primary,Female,Widowed,Sales
169,40,60584.54918886825,PhD,Male,Widowed,Administrative
170,31,53616.08489553919,PhD,Female,Married,Technical
171,63,40621.03178082396,PhD,Male,Widowed,Service
172,29,53863.93956158914,Primary,Male,Widowed,Technical
173,34,27852.501509168727,PhD,Male,Widowed,Sales
174,42,56594.4577750016,High school,Male,Single,Administrative
175,47,42298.84306371332,Primary,Female,Divorced,Sales
176,39,49446.402179355704,Bachelor,Male,Married,Administrative
177,64,68510.96825115308,High school,Male,Single,Sales
178,43,50466.40897760867,PhD,Female,Single,Professional
179,34,40180.68443332803,Master,Female,Single,Professional
180,37,64796.43675461189,High school,Female,Widowed,Sales
181,51,49316.638996620866,High school,Female,Single,Sales
182,58,68049.23164219025,High school,Female,Divorced,Service
183,50,38812.065069566954,Primary,Male,Single,Sales
184,54,45532.315820194475,Bachelor,Female,Divorced,Professional
185,24,35266.47046107047,Primary,Female,Divorced,Technical
186,39,30172.621470903767,High school,Female,Married,Service
187,49,52450.35228930472,Primary,Female,Married,Service
188,31,40625.49144981063,Primary,Male,Married,Administrative
189,25,38874.313792499815,High school,Female,Married,Professional
190,42,52043.341696196505,Primary,Female,Widowed,Administrative
191,33,34108.25859604879,PhD,Male,Divorced,Administrative
